date,weights
2000-01-03,0.8077544426494345
2000-01-04,0.8116883446302089
2000-01-05,0.8261049494467142
2000-01-06,0.7404664938911515
2000-01-07,0.7572889057175313
2000-01-10,0.7773027594247959
2000-01-11,0.92081035547009
2000-01-12,0.9212344966022339
2000-01-13,0.888888888888889
2000-01-14,0.8756567425569177
2000-01-18,0.9212344966022339
2000-01-19,1.017293997965412
2000-01-20,0.930232558139535
2000-01-21,0.92081035547009
2000-01-24,0.9195402298850576
2000-01-25,0.9606147934678195
2000-01-26,0.8309098462816785
2000-01-27,0.8688097306689836
2000-01-28,0.8684324416659818
2000-01-31,0.8496176359550708
2000-02-01,0.7651109703561964
2000-02-02,0.8016031742844419
2000-02-03,0.8528784284486811
2000-02-04,0.8650518656984488
2000-02-07,0.9086778736937755
2000-02-08,0.9285050636720027
2000-02-09,0.8775778465301516
2000-02-10,0.9411764705882354
2000-02-11,0.8733624454148473
2000-02-14,0.8669267446900737
2000-02-15,0.819000819000819
2000-02-16,0.8203445783570377
2000-02-17,0.8726003490401396
2000-02-18,0.8507018290089324
2000-02-22,0.8631851532153647
2000-02-23,0.7692307692307693
2000-02-24,0.7733951750427234
2000-02-25,0.8371703992118208
2000-02-28,0.8203445783570377
2000-02-29,0.7936507621567158
2000-03-01,0.8103727714748785
2000-03-02,0.8557979950450153
2000-03-03,0.9242144604535334
2000-03-06,0.9496676614277142
2000-03-07,1.041124468564522
2000-03-08,0.930232558139535
2000-03-09,0.8227067389019638
2000-03-10,0.8396305625524769
2000-03-13,0.9004953129444085
2000-03-14,0.9416195856873825
2000-03-15,0.87527352297593
2000-03-16,0.8193363375665711
2000-03-17,0.8952551477170995
2000-03-20,0.9629272989889264
2000-03-21,0.8940544973601031
2000-03-22,0.8710801773118545
2000-03-23,0.9216589437023529
2000-03-24,0.9306654257794325
2000-03-27,0.8984725965858041
2000-03-28,0.8580008948091332
2000-03-29,0.8153281363502595
2000-03-30,0.8045051969225585
2000-03-31,0.8298755186721991
2000-04-03,0.7852375651840426
2000-04-04,0.8295312804010253
2000-04-05,0.8322929324888502
2000-04-06,0.7374630996510657
2000-04-07,0.703977472720873
2000-04-10,0.7366482504604053
2000-04-11,0.8200082337026747
2000-04-12,0.7695267410542518
2000-04-13,0.7339449541284404
2000-04-14,0.6901311249137336
2000-04-17,0.6802721088435375
2000-04-18,0.5971931563336426
2000-04-19,0.6908462628377802
2000-04-20,0.7656967547589298
2000-04-24,0.7401924500370097
2000-04-25,0.7736943907156674
2000-04-26,0.7307270467399691
2000-04-27,0.792393026941363
2000-04-28,0.741564729016119
2000-05-01,0.7636502190282468
2000-05-02,0.7633587494901241
2000-05-03,0.7727975569087154
2000-05-04,0.7017543859649124
2000-05-05,0.6323111170506202
2000-05-08,0.6499837504062399
2000-05-09,0.7264801770257837
2000-05-10,0.7092198330063889
2000-05-11,0.6913238852402351
2000-05-12,0.6695681061410076
2000-05-15,0.7204610951008645
2000-05-16,0.767754348090378
2000-05-17,0.8045051969225585
2000-05-18,0.8216926869350863
2000-05-19,0.8340283569641368
2000-05-22,0.834724575739757
2000-05-23,0.7861634911099257
2000-05-24,0.7692307692307693
2000-05-25,0.7730962205992958
2000-05-26,0.8223684210526316
2000-05-30,0.8136696501220505
2000-05-31,0.81732737300071
2000-06-01,0.846740014955969
2000-06-02,0.8456659619450319
2000-06-05,0.8944543428240455
2000-06-06,0.9310986964618251
2000-06-07,0.880669347453516
2000-06-08,0.8676789964285899
2000-06-09,0.8896797153024911
2000-06-12,0.878348704435661
2000-06-13,0.9033424075583744
2000-06-14,0.8960573476702509
2000-06-15,0.9229349330872174
2000-06-16,0.9310986964618251
2000-06-19,0.9671179883945843
2000-06-20,0.9756097560975611
2000-06-21,0.9694619956113425
2000-06-22,0.9578544520045236
2000-06-23,0.9704026700435386
2000-06-26,0.9090909090909092
2000-06-27,0.8952551477170995
2000-06-28,0.8908685571996189
2000-06-29,0.9174312347445521
2000-06-30,0.9857071963673142
2000-07-03,1.0152283748615039
2000-07-05,1.0235414010470112
2000-07-06,1.0085728693898135
2000-07-07,0.945179584120983
2000-07-10,0.9551097920195898
2000-07-11,1.0405827804673662
2000-07-12,0.9837678307919333
2000-07-13,0.9945300350805553
2000-07-14,0.9985021967797207
2000-07-17,0.9985021967797207
2000-07-18,1.0351966873706004
2000-07-19,1.0282775820936976
2000-07-20,1.0126582278481013
2000-07-21,1.0178117048346058
2000-07-24,1.0559661533280809
2000-07-25,1.0559661533280809
2000-07-26,1.0040160642570282
2000-07-27,1.0314595684094672
2000-07-28,1.0167768174885612
2000-07-31,1.0204081632653061
2000-08-01,0.9596928982725528
2000-08-02,0.9643201542912249
2000-08-03,0.9732360570917791
2000-08-04,1.0
2000-08-07,1.0005002501250626
2000-08-08,1.0741137983827178
2000-08-09,1.0509720940109253
2000-08-10,1.0643958986484354
2000-08-11,1.0427528675703859
2000-08-14,1.0422094297962778
2000-08-15,1.0781671740251846
2000-08-16,1.1185682952219405
2000-08-17,1.1123470522803114
2000-08-18,1.109877913429523
2000-08-21,1.1441647597254005
2000-08-22,1.1730205966580995
2000-08-23,1.1527377521613833
2000-08-24,1.1448197564292932
2000-08-25,1.1507480524020743
2000-08-28,1.1737088513081662
2000-08-29,1.209921281916438
2000-08-30,1.209189769698321
2000-08-31,1.1841326929622673
2000-09-01,1.1305821859478697
2000-09-05,1.1876484560570073
2000-09-06,1.1409012469537225
2000-09-07,1.0090817356205852
2000-09-08,0.9620009157286717
2000-09-11,1.0298661174047374
2000-09-12,1.0834236773252264
