date,spx_returns
2000-01-03,-0.009825600109870103
2000-01-04,-0.03855204313823235
2000-01-05,0.0017840365710311001
2000-01-06,0.0008175332196409535
2000-01-07,0.026814084071379307
2000-01-10,0.01084468577670461
2000-01-11,-0.013131600774918262
2000-01-12,-0.004455358179098923
2000-01-13,0.011962595199195292
2000-01-14,0.010602312217287357
2000-01-18,-0.007453097269961573
2000-01-19,0.0003843649927333104
2000-01-20,-0.0073021212865064244
2000-01-21,-0.003050219978184887
2000-01-24,-0.028047188729438344
2000-01-25,0.005927002622611699
2000-01-26,-0.0042815658272755686
2000-01-27,-0.004076263482791331
2000-01-28,-0.027594563255439852
2000-01-31,0.0247355609921438
2000-02-01,0.010490104691181612
2000-02-02,-0.0002511794008199786
2000-02-03,0.010904086613659159
2000-02-04,-0.0004898514802098575
2000-02-07,-0.0005727651875175876
2000-02-08,0.012066955934422197
2000-02-09,-0.021028564993219034
2000-02-10,0.0034964689564054297
2000-02-11,-0.02110677577237241
2000-02-14,0.0016207597406570073
2000-02-15,0.008643929697670805
2000-02-16,-0.010325082142140118
2000-02-17,0.0002878387914886371
2000-02-18,-0.030513469804997917
2000-02-22,0.003898950821107805
2000-02-23,0.006163771009476182
2000-02-24,-0.005472721328736885
2000-02-25,-0.014966164258757186
2000-02-28,0.010605813463212321
2000-02-29,0.013421442505070935
2000-03-01,0.009139983008305208
2000-03-02,0.0017263699624927575
2000-03-03,0.019699995611302423
2000-03-06,-0.013174934192975218
2000-03-07,-0.025768012948100494
2000-03-08,0.00796800093946648
2000-03-09,0.02546492205053119
2000-03-10,-0.004859744051838755
2000-03-13,-0.008686466206794696
2000-03-14,-0.0178222812305201
2000-03-15,0.024074724547172632
2000-03-16,0.04743343051682425
2000-03-17,0.004045542810725777
2000-03-20,-0.005763588786942386
2000-03-21,0.02542921156781297
2000-03-22,0.0043269074771241645
2000-03-23,0.01766246970470453
2000-03-24,3.728148983306312e-06
2000-03-27,-0.0028348653342423757
2000-03-28,-0.01078972605305728
2000-03-29,0.0003874849859184515
2000-03-30,-0.013792231449963888
2000-03-31,0.006959697281688104
2000-04-03,0.004453877797758299
2000-04-04,-0.0076681549547156225
2000-04-05,-0.005060289560261277
2000-04-06,0.009187960322363686
2000-04-07,0.009861458441724258
2000-04-10,-0.008318101823071244
2000-04-11,-0.002776641633347454
2000-04-12,-0.022407405556283733
2000-04-13,-0.018443330835443583
2000-04-14,-0.05841408097324452
2000-04-17,0.032607362168017406
2000-04-18,0.02845933482263807
2000-04-19,-0.00994447693311018
2000-04-20,0.00481683820433898
2000-04-24,-0.003942179472193663
2000-04-25,0.03314011549625717
2000-04-26,-0.01140582610434493
2000-04-27,0.002418328397776115
2000-04-28,-0.008865506169641435
2000-05-01,0.01068849430693608
2000-05-02,-0.015227988210305798
2000-05-03,-0.02170118962279144
2000-05-04,-0.004043499434611353
2000-05-05,0.01629178402597553
2000-05-08,-0.006244275271294897
2000-05-09,-0.008582600122212791
2000-05-10,-0.02073549697507826
2000-05-11,0.017699154820734586
2000-05-12,0.009137483302852578
2000-05-15,0.02162354625226448
2000-05-16,0.009283733493709923
2000-05-17,-0.012712480520392533
2000-05-18,-0.007585273788411895
2000-05-19,-0.02132533664270142
2000-05-22,-0.004833889662516522
2000-05-23,-0.01924347024281481
2000-05-24,0.018132361792328355
2000-05-25,-0.012800329185916226
2000-05-26,-0.0026686039597801914
2000-05-30,0.03163376310969479
2000-05-31,-0.0015706972122710994
2000-06-01,0.019722780905734094
2000-06-02,0.019771812803615285
2000-06-05,-0.006923902357580447
2000-06-06,-0.006738104107028464
2000-06-07,0.009071551592771732
2000-06-08,-0.006788145636762666
2000-06-09,-0.0033640903090002006
2000-06-12,-0.007987812295569885
2000-06-13,0.01594058432918599
2000-06-14,0.0006137954396445711
2000-06-15,0.005367226341520093
2000-06-16,-0.009784916433607238
2000-06-19,0.014236953994199553
2000-06-20,-0.006965115474022898
2000-06-21,0.002019909727544844
2000-06-22,-0.018354786643783205
2000-06-23,-0.007502831148042288
2000-06-26,0.009123274293204142
2000-06-27,-0.0034052978795137134
2000-06-28,0.0028092120149123545
2000-06-29,-0.008678493221386696
2000-06-30,0.008330654102964186
2000-07-03,0.00986753061293677
2000-07-05,-0.016198082856785145
2000-07-06,0.007151596097862978
2000-07-07,0.01512649826510759
2000-07-10,-0.0026208196324742916
2000-07-11,0.00343033912115831
2000-07-12,0.008063177798393717
2000-07-13,0.001821661310495326
2000-07-14,0.009251553891366004
2000-07-17,-0.00013191975320392402
2000-07-18,-0.011223245943062121
2000-07-19,-0.008020356441733378
2000-07-20,0.009049690443114766
2000-07-21,-0.010484817365038035
2000-07-24,-0.011211033120938518
2000-07-25,0.006751196680734761
2000-07-26,-0.015155463742393183
2000-07-27,-0.0020617485835967564
2000-07-28,-0.02064273662760152
2000-07-31,0.0071692394235234325
2000-08-01,0.0049471429697749425
2000-08-02,0.0002834110465930184
2000-08-03,0.009433014767760817
2000-08-04,0.007005358528945349
2000-08-07,0.010668569653491833
2000-08-08,0.0021519242450955822
2000-08-09,-0.006830435029095194
2000-08-10,-0.008701932730737383
2000-08-11,0.0078033876299894445
2000-08-14,0.012529849988123232
2000-08-15,-0.0046467543872446004
2000-08-16,-0.003218852889090962
2000-08-17,0.01076035676694187
2000-08-18,-0.0030410669481765185
2000-08-21,0.004668323910366423
2000-08-22,-0.001100352116198966
2000-08-23,0.005099857377753203
2000-08-24,0.0014205002551384016
2000-08-25,-0.0014331149287916123
2000-08-28,0.004605076782040252
2000-08-29,-0.003006780068165571
