,0
2000-01-03,-0.009609105426957606
2000-01-04,-0.037886215665826464
2000-01-05,0.0017843641739848117
2000-01-06,0.0007329179165612086
2000-01-07,0.024584935841113507
2000-01-10,0.010205909206442763
2000-01-11,-0.014639706963549737
2000-01-12,-0.004969324235622608
2000-01-13,0.01287411554476073
2000-01-14,0.011240328490972378
2000-01-18,-0.008312879774250449
2000-01-19,0.00047340716459523833
2000-01-20,-0.008224037766778734
2000-01-21,-0.0034005242331371266
2000-01-24,-0.031225154027538508
2000-01-25,0.006893327433313198
2000-01-26,-0.004307259613456198
2000-01-27,-0.0042877696190869626
2000-01-28,-0.029013764506356513
2000-01-31,0.025444258623106383
2000-02-01,0.009717370677769342
2000-02-02,-0.00024377432720451713
2000-02-03,0.011259547586481388
2000-02-04,-0.0005130398381950528
2000-02-07,-0.0006301313471812665
2000-02-08,0.01356521000197279
2000-02-09,-0.022342913625295
2000-02-10,0.003984237842010034
2000-02-11,-0.02231829058729603
2000-02-14,0.0017011615557060412
2000-02-15,0.00857116943233721
2000-02-16,-0.010254968854335897
2000-02-17,0.00030409496051970504
2000-02-18,-0.03142776379346231
2000-02-22,0.0040747056103945505
2000-02-23,0.0057404727757233475
2000-02-24,-0.005124474198549621
2000-02-25,-0.0151694169853989
2000-02-28,0.010533793847144651
2000-02-29,0.012896538264073703
2000-03-01,0.008967569408004616
2000-03-02,0.0017887500289410418
2000-03-03,0.022043644921281046
2000-03-06,-0.015148325280699567
2000-03-07,-0.03248090352378971
2000-03-08,0.008973986884193767
2000-03-09,0.025364828128415114
2000-03-10,-0.004940218452287011
2000-03-13,-0.009470417152428018
2000-03-14,-0.02031810937111589
2000-03-15,0.02551230135180082
2000-03-16,0.04705342808428741
2000-03-17,0.004384985345430637
2000-03-20,-0.0067194078900706875
2000-03-21,0.027525892239720382
2000-03-22,0.004563312993530234
2000-03-23,0.019709072625866967
2000-03-24,4.20079373378577e-06
2000-03-27,-0.0030837686356469675
2000-03-28,-0.01120837562856748
2000-03-29,0.000382500341453147
2000-03-30,-0.013434079328783908
2000-03-31,0.00699274708969968
2000-04-03,0.004234322018385443
2000-04-04,-0.007701373135487094
2000-04-05,-0.005099130110493404
2000-04-06,0.00820358955764886
2000-04-07,0.008405129882601217
2000-04-10,-0.007418718839443288
2000-04-11,-0.002756655924616559
2000-04-12,-0.020876601862605943
2000-04-13,-0.01638880786599827
2000-04-14,-0.0488082999529162
2000-04-17,0.02685609413564562
2000-04-18,0.02057709608006226
2000-04-19,-0.008317788542816153
2000-04-20,0.004465431002949378
2000-04-24,-0.003532852952384508
2000-04-25,0.031043307295402577
2000-04-26,-0.010090819700983801
2000-04-27,0.002320066530173634
2000-04-28,-0.00795970770195515
2000-05-01,0.009882243004747096
2000-05-02,-0.01407394137901446
2000-05-03,-0.020304570172158844
2000-05-04,-0.003435476961369268
2000-05-05,0.012472226228660802
2000-05-08,-0.0049139310420422
2000-05-09,-0.007548960711084032
2000-05-10,-0.01780491229588091
2000-05-11,0.014814213805852435
2000-05-12,0.007407401292358138
2000-05-15,0.018861749447046376
2000-05-16,0.008629576191808468
2000-05-17,-0.012382367015528917
2000-05-18,-0.0075461459564896555
2000-05-19,-0.021533827546050023
2000-05-22,-0.004885223653529029
2000-05-23,-0.018316427965929704
2000-05-24,0.01688711814056715
2000-05-25,-0.011981169349027718
2000-05-26,-0.002657021503869097
2000-05-30,0.031163303785332132
2000-05-31,-0.0015542935153235913
2000-06-01,0.020219143399043748
2000-06-02,0.02024369841368591
2000-06-05,-0.0074981414648372475
2000-06-06,-0.007595877522861972
2000-06-07,0.009672505237155854
2000-06-08,-0.007131070897003011
2000-06-09,-0.0036236467396554414
2000-06-12,-0.008494529600206198
2000-06-13,0.017434165083228426
2000-06-14,0.0006658922814542545
2000-06-15,0.005997434488523779
2000-06-16,-0.011030554829746854
2000-06-19,0.016670209622623406
2000-06-20,-0.008227141628309934
2000-06-21,0.00237086741347999
2000-06-22,-0.02128596682007445
2000-06-23,-0.00881498694861416
2000-06-26,0.010041591851452628
2000-06-27,-0.003691020463040113
2000-06-28,0.0030300002635884633
2000-06-29,-0.009639674482134673
2000-06-30,0.009941949385711784
2000-07-03,0.012128769649232634
2000-07-05,-0.020073058407821996
2000-07-06,0.00873282542266369
2000-07-07,0.01731000735065638
2000-07-10,-0.0030306441734969003
2000-07-11,0.004321735755813454
2000-07-12,0.009603805843388496
2000-07-13,0.002193461702980826
2000-07-14,0.011184285011570705
2000-07-17,-0.00015947895194835262
2000-07-18,-0.014066494207584036
2000-07-19,-0.009985011179374143
2000-07-20,0.011095353350083733
2000-07-21,-0.012920306877001382
2000-07-24,-0.014333100689104842
2000-07-25,0.008631281412967685
2000-07-26,-0.018422747916036
2000-07-27,-0.002574734379039292
2000-07-28,-0.02541191684014662
2000-07-31,0.008857099564526062
2000-08-01,0.005748191928862602
2000-08-02,0.00033088915676234525
2000-08-03,0.011115096128241186
2000-08-04,0.008481543330389323
2000-08-07,0.012923136055920326
2000-08-08,0.0027984773256598335
2000-08-09,-0.008691286521546028
2000-08-10,-0.011214074377830566
2000-08-11,0.009851652665963682
2000-08-14,0.015810492113404625
2000-08-15,-0.006065691813858282
2000-08-16,-0.0043592136239303855
2000-08-17,0.014491438472714719
2000-08-18,-0.004086445471940247
2000-08-21,0.0064668690564030585
2000-08-22,-0.0015627224056318455
2000-08-23,0.007117591607049438
2000-08-24,0.0019688967844310886
2000-08-25,-0.001996667673716634
2000-08-28,0.006543977140347327
2000-08-29,-0.00440456777013309
